id,version,split,source_dataset,source_platform,source_video_id,source_url,video_available_at_release,availability_checked_utc,clip_start_sec,clip_end_sec,clip_duration_sec,temporal_certificate_start_sec,temporal_certificate_end_sec,temporal_certificate_duration_sec,raw_clip_range,raw_temporal_certificate,question_text,question_type,choice_a,choice_b,choice_c,choice_d,choice_e,min_fps,min_required_frames_for_certificate,native_fps,task_category,visual_domain,visual_domain_fine,visual_subdomain,source_video_category,original_row_id
fpsbench_000000,1.0.0,test,youtube8m,youtube,PhR5Dnuu_pg,https://www.youtube.com/watch?v=PhR5Dnuu_pg,,,100.0,106.0,6.0,100.0,104.0,4.0,1:40 - 1:46,1:40-1:44,How many dribbles does the player make?,repetitive_motion,3,4,5,6,None of the above,7,28,,repetitive_motion,Sports & Fitness,Sports & Fitness,Team Sports,Basketball,0
fpsbench_000001,1.0.0,test,youtube8m,youtube,I6DqZclDMnM,https://www.youtube.com/watch?v=I6DqZclDMnM,,,60.0,75.0,15.0,63.0,67.0,4.0,1:00-1:15,1:03-1:07,How many times does the person in white and blue shirt move his fist?,repetitive_motion,6 to 8 times,more than 8 but less than 10 times,more than 10 but less than 13 times,exactly 13 times,None of the above,20,80,,repetitive_motion,Sports & Fitness,Sports & Fitness,Individual Sports,Tennis,1
fpsbench_000002,1.0.0,test,youtube8m,youtube,8PjmOwHN6q0,https://www.youtube.com/watch?v=8PjmOwHN6q0,,,202.0,217.0,15.0,205.0,212.0,7.0,3:22-3:37,3:25-3:32,How many times does the person clap in total?,instance_count,6 to 8 times,8 to 10 times,11 times,more than 11 times,None of the above,10,70,,instance_count,Sports & Fitness,Sports & Fitness,Individual Sports,Badminton,2
fpsbench_000003,1.0.0,test,youtube8m,youtube,AuqtE7hDPBk,https://www.youtube.com/watch?v=AuqtE7hDPBk,,,8.0,12.0,4.0,8.0,12.0,4.0,0:08 - 0:12,0:08-0:12,How does the speed of the car change in this video,speed_recognition,Speed up,Slow down,Stays the same,Speeds up and slows down,None of the above,7,28,,speed_recognition,Vehicles,Vehicles,Ground Vehicles,Racing,3
fpsbench_000004,1.0.0,test,youtube8m,youtube,HujsdX1HYA8,https://www.youtube.com/watch?v=HujsdX1HYA8,,,37.0,41.0,4.0,38.0,40.0,2.0,0:37 - 0:41,0:38-0:40,"What foot does the player shoot with, and does he score",fine_grained_motion,"Right foot, no he does not score","Left foot, no he does not score","Right foot, yes he does score","Left foot, yes he does score",None of the above,7,14,,fine_grained_motion,Sports & Fitness,Sports & Fitness,Team Sports,Football,4
fpsbench_000005,1.0.0,test,youtube8m,youtube,r4nY1NKY0eg,https://www.youtube.com/watch?v=r4nY1NKY0eg,,,32.0,36.0,4.0,32.0,36.0,4.0,0:32 - 0:36,0:32-0:36,How many times does the dog jump on the floor in this video after getting off the couch?,repetitive_motion,4,5,6,7,None of the above,7,28,,repetitive_motion,Miscellaneous,Animals,Pets,Dogs,5
fpsbench_000006,1.0.0,test,youtube8m,youtube,HujsdX1HYA8,https://www.youtube.com/watch?v=HujsdX1HYA8,,,35.0,40.0,5.0,35.0,40.0,5.0,0:35 - 0:40,0:35-0:40,How many times does player #45 touch the ball with his right foot?,instance_count,2,3,4,5,None of the above,16,80,,instance_count,Sports & Fitness,Sports & Fitness,Team Sports,Football,6
fpsbench_000007,1.0.0,test,youtube8m,youtube,sfOxnatphcM,https://www.youtube.com/watch?v=sfOxnatphcM,,,65.0,68.0,3.0,65.0,68.0,3.0,1:05 - 1:08,1:05-1:08,What is the order of the actions by the player holding the ball in the video?,action_order,"Behind the back, dribble, pass","Dribble, Between the legs crossover, Pass","Crossover, Dribble, Pass","Dribble, behind the back, pass",None of the above,8,24,,action_order,Sports & Fitness,Sports & Fitness,Team Sports,Basketball,7
fpsbench_000008,1.0.0,test,youtube8m,youtube,Icq7igCMXQY,https://www.youtube.com/watch?v=Icq7igCMXQY,,,33.0,40.0,7.0,34.0,36.0,2.0,0:33-0:40,0:34-0:36,What is the position of the blue-gloved boxer's non-punching hand when he throws his first punch?,state_at_event,It is raised to cover his head,It is lowered to his hips,It is lowered to his chest,It is drawn back,None of the above,4,8,,state_at_event,Sports & Fitness,Sports & Fitness,Individual Sports,Boxing,8
fpsbench_000009,1.0.0,test,youtube8m,youtube,WZKzqfGJZfQ,https://www.youtube.com/watch?v=WZKzqfGJZfQ,,,18.0,26.0,8.0,22.0,25.0,3.0,0:18 - 0:26,0:22-0:25,How many rotations does the gymnast do?,repetitive_motion,2,3,4,5,None of the above,7,21,,repetitive_motion,Sports & Fitness,Sports & Fitness,Individual Sports,Gymnastics,9
